nr_slice	rho	gamma	lambda
0	1.5	-472.970287	-2451.153448
1	1.5128205128205128	-416.848632	-2940.792594
2	1.5256410256410255	-333.193822	-3979.569098
3	1.5384615384615385	-220.747950	-4909.672369
4	1.5512820512820513	-85.787025	-5418.586898
5	1.564102564102564	56.641258	-5290.664492
6	1.5769230769230769	188.739034	-4558.709457
7	1.5897435897435896	296.695696	-3456.714141
8	1.6025641025641026	374.452071	-2270.919679
9	1.6153846153846154	422.850227	-1211.189628
10	1.6282051282051282	446.732139	-377.520793
11	1.641025641025641	452.273506	216.219724
12	1.6538461538461537	445.228850	603.699720
13	1.6666666666666667	430.209024	833.425221
14	1.6794871794871795	410.595991	949.236204
15	1.6923076923076923	388.827226	985.811923
16	1.705128205128205	366.552656	970.752250
17	1.717948717948718	344.820070	924.423614
18	1.7307692307692308	324.246731	861.236169
19	1.7435897435897436	305.144494	790.795746
20	1.7564102564102564	287.635870	718.663997
21	1.7692307692307692	271.742717	647.948363
22	1.782051282051282	257.422390	580.585572
23	1.794871794871795	244.591331	517.646769
24	1.8076923076923077	233.146002	459.771358
25	1.8205128205128205	222.964494	408.919427
26	1.8333333333333333	213.837660	366.838859
27	1.8461538461538463	205.549256	332.626557
28	1.858974358974359	197.932642	304.965294
29	1.8717948717948718	190.836252	283.269686
30	1.8846153846153846	184.121290	266.674914
31	1.8974358974358974	177.678980	253.999226
32	1.9102564102564101	171.430069	244.292034
33	1.9230769230769231	165.313809	237.018095
34	1.935897435897436	159.277925	231.728006
35	1.9487179487179487	153.284465	227.835661
36	1.9615384615384615	147.311105	224.072903
37	1.9743589743589745	141.384883	219.117725
38	1.9871794871794872	135.550918	212.807857
39	2.0	129.843961	208.486651
