nr_simulation	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	-10.430962	-141.043903
1	d0.86_t0.11_time500000_gamma-0.5	-13.125489	-171.867118
2	d0.9_t0.11_time500000_gamma-0.5	-18.119521	-190.837263
3	d0.8_t0.11_time500000_gamma-0.5	-9.678206	-151.304355
4	d0.72_t0.11_time500000_gamma-0.5	-6.961810	-134.784013
5	d0.82_t0.11_time500000_gamma-0.5	-11.860426	-160.149892
6	d0.78_t0.11_time500000_gamma-0.5	-9.165889	-146.902884
7	d0.74_t0.11_time500000_gamma-0.5	-6.423046	-138.004627
8	d0.84_t0.11_time500000_gamma-0.5	-8.607806	-164.551685
9	d0.88_t0.11_time500000_gamma-0.5	-11.963931	-178.321331
10	d0.7_t0.11_time500000_gamma-0.5	-7.331821	-136.499849
